timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728914954694,584,Homepage Test,200,OK,Thread Group 1-2,text,true,,48542,192,6,6,https://automationexercise.com/products,470,0,173
1728914954484,929,Homepage Test,200,OK,Thread Group 1-1,text,true,,48548,192,7,7,https://automationexercise.com/products,923,0,260
1728914954898,682,Homepage Test,200,OK,Thread Group 1-3,text,true,,48552,192,8,8,https://automationexercise.com/products,581,0,268
1728914955101,547,Homepage Test,200,OK,Thread Group 1-4,text,true,,48540,192,8,8,https://automationexercise.com/products,540,0,254
1728914955578,316,Homepage Test,200,OK,Thread Group 1-2,text,true,,48550,192,9,9,https://automationexercise.com/products,259,0,0
1728914955713,304,Homepage Test,200,OK,Thread Group 1-1,text,true,,48546,192,10,10,https://automationexercise.com/products,249,0,0
1728914955880,431,Homepage Test,200,OK,Thread Group 1-3,text,true,,48540,192,11,11,https://automationexercise.com/products,369,0,0
1728914955948,426,Homepage Test,200,OK,Thread Group 1-4,text,true,,48540,192,11,11,https://automationexercise.com/products,364,0,0
1728914955304,1132,Homepage Test,200,OK,Thread Group 1-5,text,true,,48552,192,12,12,https://automationexercise.com/products,1126,0,345
1728914955484,1303,Homepage Test,200,OK,Thread Group 1-6,text,true,,48542,192,14,14,https://automationexercise.com/products,1025,0,284
1728914955678,1116,Homepage Test,200,OK,Thread Group 1-7,text,true,,48544,192,14,14,https://automationexercise.com/products,1109,0,222
1728914956195,713,Homepage Test,200,OK,Thread Group 1-2,text,true,,48546,192,14,14,https://automationexercise.com/products,647,0,0
1728914956318,609,Homepage Test,200,OK,Thread Group 1-1,text,true,,48544,192,14,14,https://automationexercise.com/products,590,0,0
1728914955876,1162,Homepage Test,200,OK,Thread Group 1-8,text,true,,48546,192,15,15,https://automationexercise.com/products,1051,0,185
1728914956612,593,Homepage Test,200,OK,Thread Group 1-3,text,true,,48542,192,16,16,https://automationexercise.com/products,480,0,0
1728914956676,589,Homepage Test,200,OK,Thread Group 1-4,text,true,,48546,192,16,16,https://automationexercise.com/products,529,0,0
1728914956736,535,Homepage Test,200,OK,Thread Group 1-5,text,true,,48550,192,16,16,https://automationexercise.com/products,477,0,0
1728914957088,361,Homepage Test,200,OK,Thread Group 1-6,text,true,,48554,192,17,17,https://automationexercise.com/products,248,0,0
1728914957094,363,Homepage Test,200,OK,Thread Group 1-7,text,true,,48550,192,17,17,https://automationexercise.com/products,355,0,0
1728914957209,417,Homepage Test,200,OK,Thread Group 1-2,text,true,,48544,192,18,18,https://automationexercise.com/products,352,0,0
1728914956078,1601,Homepage Test,200,OK,Thread Group 1-9,text,true,,48546,192,18,18,https://automationexercise.com/products,1548,0,711
1728914957229,460,Homepage Test,200,OK,Thread Group 1-1,text,true,,48548,192,18,18,https://automationexercise.com/products,450,0,0
1728914957339,400,Homepage Test,200,OK,Thread Group 1-8,text,true,,48540,192,18,18,https://automationexercise.com/products,350,0,0
1728914956484,1517,Homepage Test,200,OK,Thread Group 1-11,text,true,,48560,192,20,20,https://automationexercise.com/products,1324,0,613
1728914956277,1724,Homepage Test,200,OK,Thread Group 1-10,text,true,,48552,192,20,20,https://automationexercise.com/products,1529,0,820
1728914957507,542,Homepage Test,200,OK,Thread Group 1-3,text,true,,48550,192,20,20,https://automationexercise.com/products,494,0,0
1728914957566,489,Homepage Test,200,OK,Thread Group 1-4,text,true,,48544,192,20,20,https://automationexercise.com/products,483,0,0
1728914957573,539,Homepage Test,200,OK,Thread Group 1-5,text,true,,48542,192,20,20,https://automationexercise.com/products,482,0,0
1728914956676,1487,Homepage Test,200,OK,Thread Group 1-12,text,true,,48546,192,20,20,https://automationexercise.com/products,1436,0,599
1728914957750,423,Homepage Test,200,OK,Thread Group 1-6,text,true,,48548,192,20,20,https://automationexercise.com/products,413,0,0
1728914957757,532,Homepage Test,200,OK,Thread Group 1-7,text,true,,48542,192,21,21,https://automationexercise.com/products,416,0,0
1728914957076,1339,Homepage Test,200,OK,Thread Group 1-14,text,true,,48546,192,22,22,https://automationexercise.com/products,1214,0,386
1728914956877,1702,Homepage Test,200,OK,Thread Group 1-13,text,true,,48548,192,23,23,https://automationexercise.com/products,1538,0,585
1728914957927,717,Homepage Test,200,OK,Thread Group 1-2,text,true,,48552,192,23,23,https://automationexercise.com/products,652,0,0
1728914957980,726,Homepage Test,200,OK,Thread Group 1-9,text,true,,48552,192,22,22,https://automationexercise.com/products,602,0,0
1728914957990,834,Homepage Test,200,OK,Thread Group 1-1,text,true,,48558,192,23,23,https://automationexercise.com/products,716,0,0
1728914957678,1209,Homepage Test,200,OK,Thread Group 1-17,text,true,,48548,192,22,22,https://automationexercise.com/products,1091,0,373
1728914958041,911,Homepage Test,200,OK,Thread Group 1-8,text,true,,48546,192,22,22,https://automationexercise.com/products,847,0,0
1728914957277,1910,Homepage Test,200,OK,Thread Group 1-15,text,true,,48548,192,24,24,https://automationexercise.com/products,1680,0,413
1728914957488,1699,Homepage Test,200,OK,Thread Group 1-16,text,true,,48556,192,24,24,https://automationexercise.com/products,1461,0,557
1728914958302,898,Homepage Test,200,OK,Thread Group 1-11,text,true,,48550,192,24,24,https://automationexercise.com/products,885,0,0
1728914958357,1012,Homepage Test,200,OK,Thread Group 1-4,text,true,,48544,192,24,24,https://automationexercise.com/products,890,0,0
1728914958351,1024,Homepage Test,200,OK,Thread Group 1-3,text,true,,48544,192,23,23,https://automationexercise.com/products,912,0,0
1728914958302,1073,Homepage Test,200,OK,Thread Group 1-10,text,true,,48546,192,23,23,https://automationexercise.com/products,943,0,0
1728914958413,1207,Homepage Test,200,OK,Thread Group 1-5,text,true,,48542,192,24,24,https://automationexercise.com/products,964,0,0
1728914958474,1559,Homepage Test,200,OK,Thread Group 1-6,text,true,,48544,192,26,26,https://automationexercise.com/products,1381,0,0
1728914958464,1576,Homepage Test,200,OK,Thread Group 1-12,text,true,,48544,192,26,26,https://automationexercise.com/products,1157,0,0
1728914958591,1498,Homepage Test,200,OK,Thread Group 1-7,text,true,,48544,192,26,26,https://automationexercise.com/products,1449,0,0
1728914958716,1426,Homepage Test,200,OK,Thread Group 1-14,text,true,,48554,192,26,26,https://automationexercise.com/products,1373,0,0
1728914958881,1271,Homepage Test,200,OK,Thread Group 1-13,text,true,,48544,192,26,26,https://automationexercise.com/products,1268,0,0
1728914959007,1193,Homepage Test,200,OK,Thread Group 1-9,text,true,,48544,192,27,27,https://automationexercise.com/products,1149,0,0
1728914959191,1135,Homepage Test,200,OK,Thread Group 1-17,text,true,,48544,192,27,27,https://automationexercise.com/products,1011,0,0
1728914957878,2465,Homepage Test,200,OK,Thread Group 1-18,text,true,,48556,192,27,27,https://automationexercise.com/products,2449,0,1312
1728914959253,1137,Homepage Test,200,OK,Thread Group 1-8,text,true,,48548,192,28,28,https://automationexercise.com/products,1091,0,0
1728914959488,963,Homepage Test,200,OK,Thread Group 1-16,text,true,,48550,192,28,28,https://automationexercise.com/products,903,0,0
1728914959488,1017,Homepage Test,200,OK,Thread Group 1-15,text,true,,48544,192,28,28,https://automationexercise.com/products,968,0,0
1728914959503,1015,Homepage Test,200,OK,Thread Group 1-11,text,true,,48546,192,28,28,https://automationexercise.com/products,1004,0,0
1728914958076,2552,Homepage Test,200,OK,Thread Group 1-19,text,true,,48552,192,29,29,https://automationexercise.com/products,2444,0,1174
1728914959676,1089,Homepage Test,200,OK,Thread Group 1-10,text,true,,48546,192,29,29,https://automationexercise.com/products,953,0,0
1728914959922,900,Homepage Test,200,OK,Thread Group 1-5,text,true,,48550,192,30,30,https://automationexercise.com/products,843,0,0
1728914958277,2770,Homepage Test,200,OK,Thread Group 1-20,text,true,,48550,192,30,30,https://automationexercise.com/products,2652,0,1883
1728914960334,791,Homepage Test,200,OK,Thread Group 1-6,text,true,,48552,192,30,30,https://automationexercise.com/products,722,0,0
1728914960343,877,Homepage Test,200,OK,Thread Group 1-12,text,true,,48548,192,30,30,https://automationexercise.com/products,833,0,0
1728914960391,957,Homepage Test,200,OK,Thread Group 1-7,text,true,,48542,192,30,30,https://automationexercise.com/products,832,0,0
1728914960444,907,Homepage Test,200,OK,Thread Group 1-14,text,true,,48546,192,29,29,https://automationexercise.com/products,776,0,0
1728914960454,1219,Homepage Test,200,OK,Thread Group 1-13,text,true,,48548,192,31,31,https://automationexercise.com/products,1185,0,0
1728914960504,1214,Homepage Test,200,OK,Thread Group 1-9,text,true,,48548,192,31,31,https://automationexercise.com/products,1169,0,0
1728914958486,3332,Homepage Test,200,OK,Thread Group 1-21,text,true,,48542,192,32,32,https://automationexercise.com/products,3234,0,1721
1728914960629,1440,Homepage Test,200,OK,Thread Group 1-17,text,true,,48552,192,33,33,https://automationexercise.com/products,1252,0,0
1728914958679,3458,Homepage Test,200,OK,Thread Group 1-22,text,true,,48544,192,33,33,https://automationexercise.com/products,3390,0,1833
1728914960646,1597,Homepage Test,200,OK,Thread Group 1-18,text,true,,48544,192,34,34,https://automationexercise.com/products,1492,0,0
1728914961521,1263,Homepage Test,200,OK,Thread Group 1-12,text,true,,48550,192,37,37,https://automationexercise.com/products,1204,0,0
1728914961974,941,Homepage Test,200,OK,Thread Group 1-13,text,true,,48544,192,37,37,https://automationexercise.com/products,881,0,0
1728914962020,1009,Homepage Test,200,OK,Thread Group 1-9,text,true,,48548,192,38,38,https://automationexercise.com/products,895,0,0
1728914959878,3155,Homepage Test,200,OK,Thread Group 1-28,text,true,,48550,192,37,37,https://automationexercise.com/products,3150,0,1795
1728914962370,952,Homepage Test,200,OK,Thread Group 1-17,text,true,,48548,192,38,38,https://automationexercise.com/products,836,0,0
1728914962438,1077,Homepage Test,200,OK,Thread Group 1-22,text,true,,48544,192,39,39,https://automationexercise.com/products,846,0,0
1728914959488,4084,Homepage Test,200,OK,Thread Group 1-26,text,true,,48540,192,39,39,https://automationexercise.com/products,4026,0,1561
1728914962543,1317,Homepage Test,200,OK,Thread Group 1-18,text,true,,48546,192,41,41,https://automationexercise.com/products,1031,0,0
1728914960820,3040,Homepage Test,200,OK,Thread Group 1-11,text,true,,48546,192,41,41,https://automationexercise.com/products,2035,0,0
1728914961652,2208,Homepage Test,200,OK,Thread Group 1-14,text,true,,48548,192,41,41,https://automationexercise.com/products,2208,0,0
1728914958877,5119,Homepage Test,200,OK,Thread Group 1-23,text,true,,48544,192,42,42,https://automationexercise.com/products,4983,0,1754
1728914959677,4428,Homepage Test,200,OK,Thread Group 1-27,text,true,,48544,192,42,42,https://automationexercise.com/products,3169,0,1996
1728914960878,3289,Homepage Test,200,OK,Thread Group 1-33,text,true,,48546,192,42,42,https://automationexercise.com/products,3184,0,1974
1728914963085,1195,Homepage Test,200,OK,Thread Group 1-12,text,true,,48544,192,42,42,https://automationexercise.com/products,1090,0,0
1728914963224,1250,Homepage Test,200,OK,Thread Group 1-13,text,true,,48552,192,41,41,https://automationexercise.com/products,1056,0,0
1728914961278,3613,Homepage Test,200,OK,Thread Group 1-35,text,true,,48544,192,40,40,https://automationexercise.com/products,3495,0,2239
1728914961678,3385,Homepage Test,200,OK,Thread Group 1-37,text,true,,48548,192,40,40,https://automationexercise.com/products,3213,0,1898
1728914963623,1687,Homepage Test,200,OK,Thread Group 1-17,text,true,,48542,192,40,40,https://automationexercise.com/products,1440,0,0
1728914963816,1681,Homepage Test,200,OK,Thread Group 1-22,text,true,,48548,192,39,39,https://automationexercise.com/products,1494,0,0
1728914961878,3621,Homepage Test,200,OK,Thread Group 1-38,text,true,,48548,192,39,39,https://automationexercise.com/products,3432,0,1984
1728914960489,5301,Homepage Test,200,OK,Thread Group 1-31,text,true,,48540,192,39,39,https://automationexercise.com/products,2551,0,1585
1728914962878,3337,Homepage Test,200,OK,Thread Group 1-43,text,true,,48544,192,39,39,https://automationexercise.com/products,3330,0,2186
1728914965204,1072,Homepage Test,200,OK,Thread Group 1-35,text,true,,48548,192,39,39,https://automationexercise.com/products,1010,0,0
1728914965362,1026,Homepage Test,200,OK,Thread Group 1-37,text,true,,48552,192,39,39,https://automationexercise.com/products,916,0,0
1728914959277,7179,Homepage Test,200,OK,Thread Group 1-25,text,true,,48544,192,39,39,https://automationexercise.com/products,4237,0,1620
1728914964167,2291,Homepage Test,200,OK,Thread Group 1-14,text,true,,48544,192,39,39,https://automationexercise.com/products,1624,0,0
1728914960807,5655,Homepage Test,200,OK,Thread Group 1-15,text,true,,48542,192,38,38,https://automationexercise.com/products,1691,0,0
1728914965803,1006,Homepage Test,200,OK,Thread Group 1-22,text,true,,48548,192,38,38,https://automationexercise.com/products,896,0,0
1728914963488,3381,Homepage Test,200,OK,Thread Group 1-46,text,true,,48540,192,38,38,https://automationexercise.com/products,3213,0,2303
1728914962678,4598,Homepage Test,200,OK,Thread Group 1-42,text,true,,48542,192,38,38,https://automationexercise.com/products,4481,0,1803
1728914961079,6208,Homepage Test,200,OK,Thread Group 1-34,text,true,,48548,192,38,38,https://automationexercise.com/products,3089,0,1777
1728914963679,3640,Homepage Test,200,OK,Thread Group 1-47,text,true,,48548,192,38,38,https://automationexercise.com/products,3597,0,2364
1728914966102,1340,Homepage Test,200,OK,Thread Group 1-31,text,true,,48546,192,38,38,https://automationexercise.com/products,1260,0,0
1728914963880,3675,Homepage Test,200,OK,Thread Group 1-48,text,true,,48556,192,38,38,https://automationexercise.com/products,3563,0,2163
1728914966526,1394,Homepage Test,200,OK,Thread Group 1-43,text,true,,48548,192,38,38,https://automationexercise.com/products,1084,0,0
1728914966762,1502,Homepage Test,200,OK,Thread Group 1-15,text,true,,48544,192,38,38,https://automationexercise.com/products,1389,0,0
1728914966762,1508,Homepage Test,200,OK,Thread Group 1-25,text,true,,48542,192,38,38,https://automationexercise.com/products,1316,0,0
1728914963279,5100,Homepage Test,200,OK,Thread Group 1-45,text,true,,48556,192,38,38,https://automationexercise.com/products,4992,0,2512
1728914967124,1374,Homepage Test,200,OK,Thread Group 1-22,text,true,,48544,192,38,38,https://automationexercise.com/products,1254,0,0
1728914960692,7987,Homepage Test,200,OK,Thread Group 1-8,text,true,,48546,192,37,37,https://automationexercise.com/products,5096,0,0
1728914967171,1760,Homepage Test,200,OK,Thread Group 1-46,text,true,,48548,192,36,36,https://automationexercise.com/products,1515,0,0
1728914967754,1525,Homepage Test,200,OK,Thread Group 1-31,text,true,,48546,192,36,36,https://automationexercise.com/products,1249,0,0
1728914963079,6204,Homepage Test,200,OK,Thread Group 1-44,text,true,,48550,192,36,36,https://automationexercise.com/products,3790,0,2712
1728914962120,7163,Homepage Test,200,OK,Thread Group 1-21,text,true,,48544,192,36,36,https://automationexercise.com/products,920,0,0
1728914968226,1116,Homepage Test,200,OK,Thread Group 1-43,text,true,,48560,192,36,36,https://automationexercise.com/products,1108,0,0
1728914968571,955,Homepage Test,200,OK,Thread Group 1-15,text,true,,48558,192,36,36,https://automationexercise.com/products,779,0,0
1728914968571,1030,Homepage Test,200,OK,Thread Group 1-25,text,true,,48544,192,35,35,https://automationexercise.com/products,820,0,0
1728914963875,5727,Homepage Test,200,OK,Thread Group 1-26,text,true,,48548,192,35,35,https://automationexercise.com/products,2994,0,0
1728914968681,960,Homepage Test,200,OK,Thread Group 1-45,text,true,,48544,192,35,35,https://automationexercise.com/products,920,0,0
1728914964167,5530,Homepage Test,200,OK,Thread Group 1-18,text,true,,48550,192,35,35,https://automationexercise.com/products,2524,0,0
1728914960754,8943,Homepage Test,200,OK,Thread Group 1-16,text,true,,48548,192,35,35,https://automationexercise.com/products,1569,0,0
1728914962494,7271,Homepage Test,200,OK,Thread Group 1-41,text,true,,48548,192,35,35,https://automationexercise.com/products,7265,0,6438
